ListPrices,PricePaid,Title
,2339.52,"Radar, 8.4 Color, 36mi., 4KW 19 Dome"
,35.99,"Toys for 3-15 Year Old Boys Girls, CONNECOM Rechargeable Walkie Talkies for Kids 22 Channels 2 Way Radio Toy, Best Gifts for Boys and Girls to Outdoor, Camping, Hiking, Adventure Game"
,19.97,Kids Walkie Talkies with LCD Display - Kid Toys Gifts for 5-13 Year Old Boys Girls Children - GLCONN 22 Channels 2 Way Radio - Pink Todder Walkie Talkies for Kids - 2 Pack
$699.95 ,699.95,"Escort MAX 360c MKII Laser Radar Detector - Dual-Band Wi-Fi and Bluetooth Enabled, 360° Directional Arrows, Exceptional Range, Shared Alerts, Drive Smarter App, Black"
,1839.99,"Raymarine Quantum Radar (Wi-Fi) with Power Cable, 18"""
,23.99,"Kids Toys for 3-12 Year Old Boys Girls CONNECOM FRS Walkie Talkies for Kids Best Gifts for Boys and Girls Walkie Talky Radios for Children Two Way Radio Pair for Outside Adventure, Hiking, Camping"
$529.99 ,429.99,"SAMSUNG Galaxy Tab S7 FE 12.4” 64GB WiFi Android Tablet w/ S Pen Included, Large Screen, Multi Device Connectivity, Long Lasting Battery, 2021, ‎SM-T733NLIAXAR, Mystic Pink"
,59.99,"Srhythm NC25 Active Noise Cancelling Headphones Bluetooth 5.0,ANC Stereo Headset Over-Ear with Hi-Fi,Mic,50H Playtime,Voice Assistant,Low Latency Game Mode"
,669.95,"K40 Electronics Platinum100 Portable Radar Detector for Cars and Wireless Remote Control Bundle, GPS, Long Range Detection, OLED Display, Voice Alerts, Advanced False Alert Filtering"
,44.65,Amazon Basics 8-Sheet Cross Cut Paper Shredder and Credit Card Shredder with 4.1 Gallon Bin
,8.09,"Amazon Basics High-Speed HDMI Cable (18 Gbps, 4K/60Hz) - 6 Feet, Black"
,,"Amazon Basics 8-Sheet Strip-Cut Paper, CD, and Credit Card Shredder"
,,"Amazon Basics 36 Pack AAA High-Performance Alkaline Batteries, 10-Year Shelf Life, Easy to Open Value Pack"
,,"HP 2023 11"" HD IPS Laptop, Windows 11, Intel Celeron Processor Up to 2.60GHz, 4GB RAM, 64GB SSD, Intel 4K Graphics, Ultra-Fast WiFi Speed, Dale White (Renewed)"
,269,"2022 Newest Lenovo IdeaPad 1 Laptop, 14"" Anti-Glare Display, Intel Quad-Core Processor, Intel UHD Graphics, 4GB RAM, 256GB PCIe SSD, Windows 11 + Microfiber Cloth"
$449.99 ,399,"GoPro HERO10 Black - Waterproof Action Camera with Front LCD and Touch Rear Screens, 5.3K60 Ultra HD Video, 23MP Photos, 1080p Live Streaming, Webcam, Stabilization"
$104.99 ,96.25,"Logitech StreamCam, Live Streaming Webcam, Full 1080p HD 60fps Vertical Video, Smart auto Focus and Exposure, Dual Camera-Mount Versatility, with USB-C, for YouTube, Gaming Twitch, PC/Mac - White"
$49.99 ,27.95,"Logitech C310 HD Webcam, 720p/30fps, Widescreen HD Video Calling, HD Light Correction, Noise-Reducing Mic, For Skype, FaceTime, Hangouts, WebEx, PC/Mac/Laptop/Macbook/Tablet - Black"
$69.99 ,29.99,"Logitech HD Laptop Webcam C615 with Fold-and-Go Design, 360-Degree Swivel, 1080p Camera"
,24,"Logitech Hd Webcam C270, 720p Widescreen Video Calling & Recording (960-000694), 3.15 Lb"
$99.99 ,94.89,Logitech C922x Pro Stream Webcam – Full 1080p HD Camera
$49.99 ,24,"Logitech C270 HD Webcam, 720p/30fps, Widescreen HD Video Calling, HD Light Correction, Noise-Reducing Mic, for Skype, FaceTime, Hangouts, WebEx, PC/Mac/Laptop/MacBook/Tablet - Black"
,1298,Sony RX100 VII Premium Compact Camera with 1.0-type stacked CMOS sensor (DSCRX100M7)
,2199.99,Fujifilm X100V Digital Camera - Silver
,25.99,"IOIOTCO Security Camera 2K Cameras for Home Security with Night Vision, Two-Way Audio, Motion Detection, Phone APP, Remote Contol Indoor WiFi Camera, Ideal for Baby Monitor/ Pet Camera"
$179.99 ,127.49,"4K Video Camera Camcorder 48MP UHD WiFi IR Night Vision Vlogging Camera for YouTube 16X Digital Zoom Touch Screen Camera Recorder with Microphone, Handheld Stabilizer, Lens Hood, Remote,2 Batteries"
$897.99 ,847.99,"Panasonic LUMIX FZ1000 II 20.1MP Digital Camera, 16x 25-400mm LEICA DC Lens, 4K Video, Optical Image Stabilizer and 3.0-inch Display – Point and Shoot Camera - DC-FZ1000M2 (Black)"
,1549,Fujifilm X-T4 Mirrorless Camera Body - Black
"$2,196.95 ",2196.95,Nikon D780 Body
"$2,499.00 ",2299,"Canon EOS R6 Full-Frame Mirrorless Camera with 4K Video, Full-Frame CMOS Senor, DIGIC X Image Processor, Dual UHS-II SD Memory Card Slots, and Up to 12 fps with Mechnical Shutter, Body Only, Black"
$79.99 ,39.99,"Viseefocu Solar Security Cameras Wireless Outdoor for Home Security, Two Spotlights and 1080P Color Night Vision Battery Powered Camera with 2.4GHz WiFi, PIR, Two-Way Talk, IP66 Waterproof, Cloud/SD"
$69.99 ,47.99,"Security Cameras Wireless Outdoor, 1080P Battery Powered AI Motion Detection Spotlight Siren Alarm WiFi Surveillance Indoor Home Camera, Color Night Vision, 2-Way Talk, Waterproof, Cloud/SD Storage"
,39.98,"WYZE Cam Pan v3 Indoor/Outdoor IP65-Rated 1080p Pan/Tilt/Zoom Wi-Fi Smart Home Security Camera with Color Night Vision, 2-Way Audio, Compatible with Alexa & Google Assistant, White"
,,"Blink Outdoor - wireless, weather-resistant HD security camera, two-year battery life, motion detection, set up in minutes – 4 camera kit"
,,"Blink Mini – Compact indoor plug-in smart security camera, 1080p HD video, night vision, motion detection, two-way audio, easy set up, Works with Alexa – 3 cameras (Black)"
,,Nikon D3200 24.2 MP CMOS Digital SLR with 18-55mm f/3.5-5.6 AF-S DX NIKKOR Zoom Lens (Renewed)
$169.99 ,129.99,"Logitech for Creators StreamCam Premium Webcam for Streaming and Content Creation, Full HD 1080p 60 fps, Premium Glass Lens, Smart Auto-Focus, for PC/Mac – Graphite"
,18.68,Replacement for Mac Book Pro Charger，Mac Book Pro 13 Inch Display AC 60W Magnetic Shape Connector Power Adapter（Before Mid 2012）
,449,"HP 15.6"" Laptop with Intel 4-core CPU, 15.6"" HD LED Display, Intel Quad-core Processor, Bluetooth and Wi-Fi, HDMI, Long Battery Life, Windows 11 Home in S Mode(16GB RAM | 1TB SSD)"
,529.99,"2022 Newest HP Laptop with Microsoft Office Included 1-Year, 15.6"" HD Screen, AMD Athlon 3050U 16GB RAM 1TB SSD HDMI Port Webcam Gold White Windows 11 | College Student Bundle, ROKC HDMI Cable"
$889.99 ,719.99,"HP 2022 Newest Touch-Screen Laptops for College Student & Business, 15.6 inch HD Computer, Intel 11th Core i5-1135G7, 32GB RAM, 1TB SSD, Fast Charge, HDMI, Webcam, Wi-Fi, Windows 11, LIONEYE MP"
"$1,189.99 ",1031.99,"Lenovo - Legion 5 - Gaming Laptop - AMD Ryzen 7 5800H - 16GB RAM - 512GB Storage - NVIDIA GeForce RTX 3050Ti - 15.6"" FHD Display - Windows 11 Home - Phantom Blue"
,,Gateway Newest Touchscreen 11.6 HD 2-in-1 Convertible Laptop in Black Intel N4020 4GB RAM 64GB SSD Mini-HDMI Webcam Windows 10 S (Renewed)
,702.46,"2022 HP Victus Gaming Laptop, 15.6-Inch 144Hz FHD Display, 12th Gen Core i5-12450H(Beat R7 5800H), 16GB 3200 RAM, 1TB PCIe SSD, NVIDIA GeForce GTX 1650, WiFi 6, Backlit KB, RJ-45, HDMI, Win 11 H"
$499.00 ,260.95,"Microsoft Surface Laptop Go 12.4"" Touchscreen Laptop PC, Intel Quad-Core i5-1035G1, 4GB RAM, 64GB eMMC, Webcam, Win 10 Pro, Bluetooth, Online Class Ready - Platinum"
,28.88,GK5KY 11.1V 43WH Laptop Battery for Dell Inspiron 11 (3147/3148)/13 (7347/7348/7352) Series 4-Cell Laptop Battery 4K8YH 0WF28 P20T 092NCT
"$2,599.99 ",2084.99,"Razer Blade 14 Gaming Laptop: AMD Ryzen 9 6900HX CPU - NVIDIA GeForce RTX 3070 Ti - 14"" QHD 165Hz - 16GB DDR5 RAM - 1TB PCIe SSD - Windows 11 - Ultra-Thin - CNC Aluminum - Chroma RGB"
,519,"Lenovo Ideapad 3 15.6"" FHD Home and Business Laptop AMD Ryzen 5 5500U 6 Cores Integrated AMD Radeon 7 Graphics 8GB RAM DDR4 256GB SSD 82KU003NUS"
,449,"HP 2022 14"" HD Display Laptop, AMD Ryzen 3-3250U, 32GB RAM, 512GB PCIe SSD, AMD Radeon Graphics, True Vision HD Camera, Bluetooth, Windows 11 S, Silver, 32GB Snow Bell USB Card"
$319.99 ,299.99,"Lenovo C340 2-in-1 (81T9000VUS) Chromebook, 15.6"" FHD Touch Display, Intel Core i3-8130U Upto 3.4GHz, 4GB RAM, 64GB eMMC, Wi-Fi, Bluetooth, Chrome OS"
,199.99,"Lenovo 2022 Upgraded Ideapad 1i Laptops, 14 inch HD Computer, Intel Celeron N4020, 4GB RAM, 128GB SSD(64GB SSD+64GB Card), 1-Year Office 365, Webcam, Wi-Fi, Bluetooth, Windows 11, LIONEYE HDMI Cable"
$849.99 ,546,"Acer Swift 3 Intel Evo Thin & Light Laptop, 14"" Full HD, Intel Core i7-1165G7, Iris Xe Graphics, 8GB LPDDR4X, 256GB NVMe SSD, Wi-Fi 6, Fingerprint Reader, Back-lit KB, SF314-59-75QC"
,789.99,"Acer Aspire 5 15.6"" 60Hz FHD Laptop (Intel i7-1165G7 4-Core, 36GB RAM, 1TB PCIe SSD, Intel Iris Xe, Backlit KYB, FP, WiFi 6, BT 5.2, Webcam, Ethernet LAN (RJ-45), Win 11 Home) with Hub"
,199,"Lenovo 14"" IdeaPad 1 Laptop, Intel Dual-core Processor, 14"" HD Display, 4GB RAM, Wi-Fi 6 and Bluetooth, HDMI, SD Card Reader, Windows 11 Home in S Mode (256GB SSD Storage)"
$159.99 ,99,"Plugable USB 3.0 Universal Laptop Docking Station for Windows and Mac (Dual Monitor: HDMI and DVI/HDMI/VGA, Gigabit Ethernet, Audio, 6 USB Ports) - Horizontal"
$499.00 ,419,"Acer 2023 Newest Aspire 5 15.6"" FHD IPS Slim Laptop, Intel Core i3-1115G4(Up to 4.1GHz), 20GB RAM, 512GB NVMe SSD, WiFi 6, USB, RJ-45, Webcam, Amazon Alexa, Windows 11 S, w/GM Accessories"
,149,"Lenovo IdeaPad 1 14 Laptop, 14.0"" HD Display, Intel Celeron N4020, 4GB RAM, 64GB Storage, Intel UHD Graphics 600, Win 11 in S Mode, Cloud Grey"
,399,"Lenovo Ideapad 15.6"" HD Laptop, Athlon Silver 3050U 2.3 GHz (Beats i3-1005G1) Dual-core Processor, 20GB RAM, 1TB PCIE SSD, WiFi, Webcam, Bluetooth, Win 11 S, Cloud Grey, JVQ"
$449.99 ,349.99,"Lenovo 15.6"" IdeaPad Laptop (Latest Model), AMD Athlon Dual Core Processor, 8GB RAM, 640GB SSD (128GB eMMC+512GB PCIe SSD), Webcam, HDMI, WiFi 6, USB Type-C, Long Battery Life, NLY MP, Windows 11"
,25.99,"SP 512GB SSD 3D NAND A55 SLC Cache Performance Boost SATA III 2.5"" 7mm (0.28"") Internal Solid State Drive (SP512GBSS3A55S25)"
,46.99,"SP 1TB SSD 3D NAND A55 SLC Cache Performance Boost SATA III 2.5"" 7mm (0.28"") Internal Solid State Drive (SP001TBSS3A55S25)"
,17.99,"SP 256GB SSD 3D NAND A55 SLC Cache Performance Boost SATA III 2.5"" 7mm (0.28"") Internal Solid State Drive (SP256GBSS3A55S25)"
,87.99,"fanxiang S101 2TB SSD SATA III 6Gb/s 2.5"" Internal Solid State Drive, Read Speed up to 550MB/sec, Compatible with Laptop and PC Desktops(Black)"
,799,"VectoTech Rapid 8TB External SSD USB-C Portable Solid State Drive (USB 3.1 Gen 2) – Up to 540MB/s Data Transfer, 3D NAND Flash"
$92.99 ,87.99,"Silicon Power 2TB SSD 3D NAND A55 SLC Cache Performance Boost SATA III 2.5"" 7mm (0.28"") Internal Solid State Drive (SP002TBSS3A55S25)"
$89.99 ,52.99,"Crucial BX500 1TB 3D NAND SATA 2.5-Inch Internal SSD, up to 540MB/s - CT1000BX500SSD1"
$109.99 ,57.99,"Western Digital 1TB WD Blue SN570 NVMe Internal Solid State Drive SSD - Gen3 x4 PCIe 8Gb/s, M.2 2280, Up to 3,500 MB/s - WDS100T3B0C"
$94.99 ,74.99,"SAMSUNG T7 Portable SSD 500GB - Up to 1050MB/s - USB 3.2 External Solid State Drive, Blue (MU-PC500H/AM)"
$299.99 ,223.99,"LaCie Rugged SSD 1TB Solid State Drive — USB-C USB 3.2 NVMe speeds up to 1050MB/s, IP67 Water Resistant, 3m Drop resistant, Encryption, 5-year Warranty with Data Recovery, 1 Mo Adobe CC (STHR1000800)"
$661.00 ,569,"Microsoft Surface Pro X - 13"" Touchscreen - Microsoft SQ® 2 - 16GB Memory - 256GB SSD - WiFi - Platinum (Latest Model)"
$199.99 ,119.99,"Crucial X6 2TB Portable SSD – Up to 800MB/s – USB 3.2 – External Solid State Drive, USB-C - CT2000X6SSD9"
$349.99 ,239.99,"Crucial MX500 4TB 3D NAND SATA 2.5 Inch Internal SSD, up to 560MB/s - CT4000MX500SSD1"
$219.99 ,219.99,"SanDisk 2TB Extreme PRO Portable SSD - Up to 2000MB/s - USB-C, USB 3.2 Gen 2x2 - External Solid State Drive - SDSSDE81-2T00-G25"
$38.99 ,18.76,"PNY CS900 250GB 3D NAND 2.5"" SATA III Internal Solid State Drive (SSD) - (SSD7CS900-250-RB)"
,339,"Intel NUC 11 Gen Mini PC Celeron N5105 Mini Computers,8GB DDR4 500GB M.2 SSD Portable Computer Support 4K UHD, 2.4G/5.0G Dual Wi-Fi, LAN for Business Home Education"
$19.99 ,14.52,"RAOYI 5 Pack 32GB USB Flash Drive, USB 2.0 Memory Stick Thumb Drives Jump Drive Pen Drive for PC Laptop Computer - 32G Multipack"
$67.99 ,46.99,TEAMGROUP T-Force Vulcan Z 1TB SLC Cache 3D NAND TLC 2.5 Inch SATA III Internal Solid State Drive SSD (R/W Speed up to 550/500 MB/s) T253TZ001T0C101
